层编号,模块名称,原始维度,剪枝后维度,保留率,稀疏度
0,attn_q_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
0,attn_k_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
0,attn_v_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
0,attn_o_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
0,mlp_gate_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
0,mlp_up_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
0,mlp_down_proj,4096 × 14336,4096 × 14336,1.0000,0.0000
1,attn_q_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
1,attn_k_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
1,attn_v_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
1,attn_o_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
1,mlp_gate_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
1,mlp_up_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
1,mlp_down_proj,4096 × 14336,4096 × 14336,1.0000,0.0000
2,attn_q_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
2,attn_k_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
2,attn_v_proj,1024 × 4096,1024 × 4096,1.0000,0.0000
2,attn_o_proj,4096 × 4096,4096 × 4096,1.0000,0.0000
2,mlp_gate_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
2,mlp_up_proj,14336 × 4096,14336 × 4096,1.0000,0.0000
2,mlp_down_proj,4096 × 14336,4096 × 14336,1.0000,0.0000
3,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
3,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
3,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
3,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
3,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
3,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
3,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
4,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
4,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
4,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
4,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
4,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
4,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
4,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
5,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
5,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
5,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
